Trial,Eccentricity (degrees),Reaction Time (s),Direction,Color,Correctness,1/2/3 Colors,Name,Attention,Circle Size (degrees)
90,10,0.273816,0,"[0, 0, 255]",1,1,B,Covert,4
91,10,0.2452887,0,"[0, 0, 255]",1,1,B,Covert,4
92,10,0.2431402,0,"[0, 0, 255]",1,1,B,Covert,4
93,10,0.3659721,2,"[0, 0, 255]",1,1,B,Covert,4
94,10,0.2953299,2,"[0, 0, 255]",1,1,B,Covert,4
95,10,0.2330601,2,"[0, 0, 255]",1,1,B,Covert,4
96,10,0.2204944,2,"[0, 0, 255]",1,1,B,Covert,4
97,15,0.3308066,0,"[0, 0, 255]",1,1,B,Covert,4
98,15,0.2641599,0,"[0, 0, 255]",1,1,B,Covert,4
99,15,0.2154913,0,"[0, 0, 255]",1,1,B,Covert,4
100,15,0.1718906,0,"[0, 0, 255]",1,1,B,Covert,4
101,15,0.3032471,2,"[0, 0, 255]",1,1,B,Covert,4
102,15,0.2378651,2,"[0, 0, 255]",1,1,B,Covert,4
103,15,0.1702799,2,"[0, 0, 255]",1,1,B,Covert,4
104,15,0.0925871,2,"[0, 0, 255]",1,1,B,Covert,4
105,20,0.2970593,0,"[0, 0, 255]",1,1,B,Covert,4
106,20,0.3515783,0,"[0, 0, 255]",1,1,B,Covert,4
107,20,0.2788605,0,"[0, 0, 255]",1,1,B,Covert,4
108,20,0.2485484,0,"[0, 0, 255]",1,1,B,Covert,4
109,20,0.3128858,2,"[0, 0, 255]",1,1,B,Covert,4
110,20,0.2909082,2,"[0, 0, 255]",1,1,B,Covert,4
111,20,0.2528022,2,"[0, 0, 255]",1,1,B,Covert,4
112,20,0.0667692,2,"[0, 0, 255]",1,1,B,Covert,4
113,25,0.3909931,0,"[0, 0, 255]",1,1,B,Covert,4
114,25,0.3070523,0,"[0, 0, 255]",1,1,B,Covert,4
115,25,0.2489448,0,"[0, 0, 255]",1,1,B,Covert,4
116,25,0.1438739,0,"[0, 0, 255]",1,1,B,Covert,4
117,25,0.3137951,2,"[0, 0, 255]",1,1,B,Covert,4
118,25,0.2630408,2,"[0, 0, 255]",1,1,B,Covert,4
119,25,0.2757656,2,"[0, 0, 255]",1,1,B,Covert,4
120,25,0.0649103,2,"[0, 0, 255]",1,1,B,Covert,4
121,30,0.2873188,0,"[0, 0, 255]",1,1,B,Covert,4
122,30,0.299818,0,"[0, 0, 255]",1,1,B,Covert,4
123,30,0.2038448,0,"[0, 0, 255]",1,1,B,Covert,4
124,30,0.1277804,0,"[0, 0, 255]",1,1,B,Covert,4
125,30,0.3035254,2,"[0, 0, 255]",1,1,B,Covert,4
126,30,0.2582488,2,"[0, 0, 255]",1,1,B,Covert,4
127,30,0.3221076,2,"[0, 0, 255]",1,1,B,Covert,4
128,30,-0.0056351,2,"[0, 0, 255]",1,1,B,Covert,4
129,35,0.2891036,0,"[0, 0, 255]",1,1,B,Covert,4
130,35,0.3073011,0,"[0, 0, 255]",1,1,B,Covert,4
131,35,0.2676848,0,"[0, 0, 255]",1,1,B,Covert,4
132,35,0.1695564,0,"[0, 0, 255]",1,1,B,Covert,4
133,35,0.3027038,2,"[0, 0, 255]",1,1,B,Covert,4
134,35,0.2697004,2,"[0, 0, 255]",1,1,B,Covert,4
135,35,0.2597574,2,"[0, 0, 255]",1,1,B,Covert,4
136,35,0.2641661,2,"[0, 0, 255]",1,1,B,Covert,4
137,40,0.4308558,2,"[0, 0, 255]",0,1,B,Covert,4
138,40,0.2995586,0,"[0, 0, 255]",1,1,B,Covert,4
139,40,0.4713636,0,"[0, 0, 255]",1,1,B,Covert,4
140,40,0.2887631,0,"[0, 0, 255]",1,1,B,Covert,4
141,40,0.4207007,0,"[0, 0, 255]",1,1,B,Covert,4
142,40,0.4079459,0,"[0, 0, 255]",1,1,B,Covert,4
143,40,0.328229,2,"[0, 0, 255]",1,1,B,Covert,4
144,40,0.3887062,2,"[0, 0, 255]",1,1,B,Covert,4
145,0,0.3447031,0,"[0, 0, 255]",0,2,B,Covert,4
146,0,0.4852403,2,"[0, 0, 255]",0,2,B,Covert,4
147,0,0.4495435,0,"[0, 0, 255]",1,2,B,Covert,4
148,0,0.3473967,0,"[0, 0, 255]",1,2,B,Covert,4
149,0,0.4015906,0,"[0, 0, 255]",1,2,B,Covert,4
150,0,0.3073429,0,"[0, 0, 255]",1,2,B,Covert,4
151,0,0.3598186,0,"[0, 0, 255]",1,2,B,Covert,4
152,0,0.3073544,0,"[0, 0, 255]",1,2,B,Covert,4
153,0,0.3414735,0,"[0, 0, 255]",1,2,B,Covert,4
154,0,0.4369842,0,"[255, 255, 0]",1,2,B,Covert,4
155,0,0.3684766,0,"[255, 255, 0]",1,2,B,Covert,4
156,0,0.3204583,0,"[255, 255, 0]",1,2,B,Covert,4
157,0,0.3055655,0,"[255, 255, 0]",1,2,B,Covert,4
158,0,0.360363,2,"[0, 0, 255]",1,2,B,Covert,4
159,0,0.4061599,2,"[0, 0, 255]",1,2,B,Covert,4
160,0,0.4017266,2,"[0, 0, 255]",1,2,B,Covert,4
161,0,0.3761135,2,"[0, 0, 255]",1,2,B,Covert,4
162,0,0.3898139,2,"[0, 0, 255]",1,2,B,Covert,4
163,0,0.3116478,2,"[0, 0, 255]",1,2,B,Covert,4
164,0,0.3340704,2,"[0, 0, 255]",1,2,B,Covert,4
165,0,0.4070016,2,"[255, 255, 0]",1,2,B,Covert,4
166,0,0.345884,2,"[255, 255, 0]",1,2,B,Covert,4
167,0,0.3464831,2,"[255, 255, 0]",1,2,B,Covert,4
168,0,0.305649,2,"[255, 255, 0]",1,2,B,Covert,4
